learner_id,employee_id,full_name,email,role,department,region,manager_id,employment_status,role_requires_certification,hire_date,source_system
L00023,E00023,Learner 00023,learner00023@example.com,Product Manager,Product,APAC,M013,Active,True,2022-06-06,HRIS
L00024,E00024,Learner 00024,learner00024@example.com,Security Analyst,Security,NA,M047,Active,True,2025-09-07,HRIS
L00025,E00025,Learner 00025,learner00025@example.com,HR Business Partner,Human Resources,LATAM,M071,Active,True,2021-11-17,HRIS
L00026,E00026,Learner 00026,learner00026@example.com,Implementation Consultant,Professional Services,NA,M032,Active,True,2023-07-13,HRIS
L00027,E00027,Learner 00027,learner00027@example.com,Product Manager,Product,EMEA,M041,Active,False,2024-05-29,HRIS
L00028,E00028,Learner 00028,learner00028@example.com,Sales Engineer,Sales,APAC,M012,Active,True,2025-06-23,HRIS
L00029,E00029,Learner 00029,learner00029@example.com,Implementation Consultant,Professional Services,LATAM,M009,Active,False,2023-03-11,HRIS
L00030,E00030,Learner 00030,learner00030@example.com,Sales Engineer,Sales,EMEA,M078,Active,False,2021-12-02,HRIS
L00031,E00031,Learner 00031,learner00031@example.com,Customer Success Manager,Customer Success,LATAM,M046,Active,True,2021-09-15,HRIS
L00032,E00032,Learner 00032,learner00032@example.com,Sales Engineer,Sales,EMEA,M028,Active,True,2025-07-18,HRIS
L00033,E00033,Learner 00033,learner00033@example.com,Sales Engineer,Sales,NA,M044,Active,True,2023-10-29,HRIS
L00034,E00034,Learner 00034,learner00034@example.com,Support Specialist,Support,EMEA,M033,Active,True,2022-09-20,HRIS
L00035,E00035,Learner 00035,learner00035@example.com,Learning Program Manager,Learning and Development,APAC,M022,Active,True,2026-03-31,HRIS
L00036,E00036,Learner 00036,learner00036@example.com,Support Specialist,Support,NA,M077,Active,True,2022-01-13,HRIS
L00037,E00037,Learner 00037,learner00037@example.com,HR Business Partner,Human Resources,EMEA,M051,Inactive,True,2023-09-29,HRIS
L00038,E00038,Learner 00038,learner00038@example.com,Security Analyst,Security,LATAM,M055,Active,True,2022-08-06,HRIS
L00039,E00039,Learner 00039,learner00039@example.com,HR Business Partner,Human Resources,APAC,M070,Active,True,2026-01-08,HRIS
L00040,E00040,Learner 00040,learner00040@example.com,Security Analyst,Security,EMEA,M043,Active,True,2023-01-15,HRIS
L00041,E00041,Learner 00041,learner00041@example.com,Sales Engineer,Sales,APAC,M015,Active,True,2022-01-14,HRIS
L00042,E00042,Learner 00042,learner00042@example.com,Product Manager,Product,APAC,M034,Active,True,2024-04-29,HRIS
L00043,E00043,Learner 00043,learner00043@example.com,Support Specialist,Support,APAC,M056,Active,True,2024-03-30,HRIS
L00044,E00044,Learner 00044,learner00044@example.com,Product Manager,Product,LATAM,M024,Active,True,2026-02-20,HRIS
L00045,E00045,Learner 00045,learner00045@example.com,Product Manager,Product,LATAM,M076,Active,True,2025-10-02,HRIS
L00046,E00046,Learner 00046,learner00046@example.com,Sales Engineer,Sales,EMEA,M068,Active,True,2023-02-12,HRIS
L00047,E00047,Learner 00047,learner00047@example.com,Customer Success Manager,Customer Success,LATAM,M027,Active,True,2024-08-08,HRIS
L00048,E00048,Learner 00048,learner00048@example.com,HR Business Partner,Human Resources,LATAM,M074,Active,True,2023-01-26,HRIS
L00049,E00049,Learner 00049,learner00049@example.com,Customer Success Manager,Customer Success,NA,M075,Active,True,2024-07-20,HRIS
L00050,E00050,Learner 00050,learner00050@example.com,Sales Engineer,Sales,EMEA,M007,Active,True,2025-06-05,HRIS
L00051,E00051,Learner 00051,learner00051@example.com,Security Analyst,Security,EMEA,M034,Active,True,2021-07-15,HRIS
L00052,E00052,Learner 00052,learner00052@example.com,Learning Program Manager,Learning and Development,APAC,M062,Active,False,2022-01-10,HRIS
L00053,E00053,Learner 00053,learner00053@example.com,Product Manager,Product,EMEA,M041,Active,True,2024-10-03,HRIS
L00054,E00054,Learner 00054,learner00054@example.com,Learning Program Manager,Learning and Development,EMEA,M060,Active,True,2022-05-12,HRIS
L00055,E00055,Learner 00055,learner00055@example.com,Security Analyst,Security,APAC,M014,Active,True,2023-06-09,HRIS
L00056,E00056,Learner 00056,learner00056@example.com,Implementation Consultant,Professional Services,EMEA,M017,Inactive,True,2025-06-25,HRIS
L00057,E00057,Learner 00057,learner00057@example.com,Customer Success Manager,Customer Success,NA,M041,Active,False,2022-10-30,HRIS
L00058,E00058,Learner 00058,learner00058@example.com,Product Manager,Product,APAC,M066,Active,True,2023-06-28,HRIS
L00059,E00059,Learner 00059,learner00059@example.com,Learning Program Manager,Learning and Development,LATAM,M064,Active,True,2021-06-14,HRIS
L00060,E00060,Learner 00060,learner00060@example.com,Security Analyst,Security,APAC,M035,Inactive,False,2023-05-08,HRIS
L00061,E00061,Learner 00061,learner00061@example.com,Learning Program Manager,Learning and Development,LATAM,M025,Active,False,2023-02-07,HRIS
L00062,E00062,Learner 00062,learner00062@example.com,Customer Success Manager,Customer Success,EMEA,M005,Active,True,2023-03-24,HRIS
L00063,E00063,Learner 00063,learner00063@example.com,HR Business Partner,Human Resources,NA,M016,Active,True,2024-01-17,HRIS
L00064,E00064,Learner 00064,learner00064@example.com,Security Analyst,Security,LATAM,M068,Active,True,2022-01-11,HRIS
L00065,E00065,Learner 00065,learner00065@example.com,Customer Success Manager,Customer Success,LATAM,M074,Active,True,2026-04-25,HRIS
L00066,E00066,Learner 00066,learner00066@example.com,Implementation Consultant,Professional Services,NA,M047,Active,True,2023-07-17,HRIS
L00067,E00067,Learner 00067,learner00067@example.com,Product Manager,Product,NA,M059,Active,True,2023-05-04,HRIS
L00068,E00068,Learner 00068,learner00068@example.com,Support Specialist,Support,APAC,M080,Active,False,2023-07-20,HRIS
L00069,E00069,Learner 00069,learner00069@example.com,Customer Success Manager,Customer Success,LATAM,M025,Active,True,2023-05-06,HRIS
L00070,E00070,Learner 00070,learner00070@example.com,Implementation Consultant,Professional Services,NA,M026,Active,True,2024-03-20,HRIS
L00071,E00071,Learner 00071,learner00071@example.com,Learning Program Manager,Learning and Development,APAC,M047,Active,False,2021-10-30,HRIS
L00072,E00072,Learner 00072,learner00072@example.com,Customer Success Manager,Customer Success,LATAM,M069,Inactive,True,2022-01-22,HRIS
L00073,E00073,Learner 00073,learner00073@example.com,Security Analyst,Security,LATAM,M021,Inactive,True,2023-11-15,HRIS
L00074,E00074,Learner 00074,learner00074@example.com,Implementation Consultant,Professional Services,APAC,M007,Active,True,2025-08-17,HRIS
L00075,E00075,Learner 00075,learner00075@example.com,Support Specialist,Support,EMEA,M010,Active,True,2021-12-28,HRIS
L00076,E00076,Learner 00076,learner00076@example.com,Security Analyst,Security,NA,M046,Active,True,2022-04-07,HRIS
L00077,E00077,Learner 00077,learner00077@example.com,Learning Program Manager,Learning and Development,LATAM,M076,Active,True,2024-07-07,HRIS
L00078,E00078,Learner 00078,learner00078@example.com,Implementation Consultant,Professional Services,EMEA,M071,Active,True,2024-05-02,HRIS
L00079,E00079,Learner 00079,learner00079@example.com,Sales Engineer,Sales,EMEA,M033,Active,True,2021-12-18,HRIS
L00080,E00080,Learner 00080,learner00080@example.com,Support Specialist,Support,LATAM,M074,Active,False,2023-06-02,HRIS
L00081,E00081,Learner 00081,learner00081@example.com,HR Business Partner,Human Resources,LATAM,M009,Active,False,2022-01-28,HRIS
L00082,E00082,Learner 00082,learner00082@example.com,Security Analyst,Security,EMEA,M010,Active,True,2021-12-19,HRIS
L00083,E00083,Learner 00083,learner00083@example.com,Support Specialist,Support,NA,M070,Active,True,2023-03-12,HRIS
L00084,E00084,Learner 00084,learner00084@example.com,Customer Success Manager,Customer Success,LATAM,M005,Active,True,2024-05-09,HRIS
L00085,E00085,Learner 00085,learner00085@example.com,Implementation Consultant,Professional Services,EMEA,M019,Active,False,2021-09-16,HRIS
L00086,E00086,Learner 00086,learner00086@example.com,Product Manager,Product,NA,M011,Active,True,2022-03-26,HRIS
L00087,E00087,Learner 00087,learner00087@example.com,Customer Success Manager,Customer Success,LATAM,M031,Inactive,True,2025-03-21,HRIS
L00088,E00088,Learner 00088,learner00088@example.com,Implementation Consultant,Professional Services,LATAM,M011,Active,True,2025-03-11,HRIS
L00089,E00089,Learner 00089,learner00089@example.com,Security Analyst,Security,APAC,M054,Active,False,2022-08-04,HRIS
L00090,E00090,Learner 00090,learner00090@example.com,Support Specialist,Support,EMEA,M022,Active,True,2021-11-15,HRIS
L00091,E00091,Learner 00091,learner00091@example.com,HR Business Partner,Human Resources,EMEA,M062,Active,True,2022-05-21,HRIS
L00092,E00092,Learner 00092,learner00092@example.com,Implementation Consultant,Professional Services,NA,M027,Active,True,2021-07-16,HRIS
L00093,E00093,Learner 00093,learner00093@example.com,Learning Program Manager,Learning and Development,EMEA,M028,Active,True,2023-12-16,HRIS
L00094,E00094,Learner 00094,learner00094@example.com,Support Specialist,Support,NA,M079,Active,True,2021-12-02,HRIS
L00095,E00095,Learner 00095,learner00095@example.com,HR Business Partner,Human Resources,EMEA,M067,Active,True,2026-01-29,HRIS
L00096,E00096,Learner 00096,learner00096@example.com,Implementation Consultant,Professional Services,NA,M039,Active,True,2024-03-03,HRIS
L00097,E00097,Learner 00097,learner00097@example.com,Sales Engineer,Sales,LATAM,M014,Active,True,2022-05-11,HRIS
L00098,E00098,Learner 00098,learner00098@example.com,Sales Engineer,Sales,NA,M032,Active,True,2023-10-19,HRIS
L00099,E00099,Learner 00099,learner00099@example.com,Security Analyst,Security,NA,M052,Active,True,2024-06-30,HRIS
L00100,E00100,Learner 00100,learner00100@example.com,Customer Success Manager,Customer Success,APAC,M006,Active,True,2023-11-15,HRIS
L00101,E00101,Learner 00101,learner00101@example.com,Sales Engineer,Sales,EMEA,M029,Active,True,2022-02-17,HRIS
L00102,E00102,Learner 00102,learner00102@example.com,HR Business Partner,Human Resources,EMEA,M064,Active,True,2024-04-03,HRIS
L00103,E00103,Learner 00103,learner00103@example.com,Support Specialist,Support,APAC,M026,Active,False,2022-09-27,HRIS
L00104,E00104,Learner 00104,learner00104@example.com,Customer Success Manager,Customer Success,LATAM,M077,Active,True,2025-11-07,HRIS
L00105,E00105,Learner 00105,learner00105@example.com,HR Business Partner,Human Resources,EMEA,M041,Active,True,2025-03-01,HRIS
L00106,E00106,Learner 00106,learner00106@example.com,Security Analyst,Security,LATAM,M032,Active,True,2023-08-04,HRIS
L00107,E00107,Learner 00107,learner00107@example.com,Sales Engineer,Sales,NA,M063,Active,True,2022-11-21,HRIS
L00108,E00108,Learner 00108,learner00108@example.com,Sales Engineer,Sales,NA,M052,Active,True,2025-11-03,HRIS
L00109,E00109,Learner 00109,learner00109@example.com,Learning Program Manager,Learning and Development,NA,M012,Active,True,2023-07-29,HRIS
L00110,E00110,Learner 00110,learner00110@example.com,Implementation Consultant,Professional Services,EMEA,M035,Active,True,2024-07-15,HRIS
L00111,E00111,Learner 00111,learner00111@example.com,Security Analyst,Security,NA,M043,Active,True,2025-04-29,HRIS
L00112,E00112,Learner 00112,learner00112@example.com,HR Business Partner,Human Resources,NA,M075,Active,True,2025-05-21,HRIS
L00113,E00113,Learner 00113,learner00113@example.com,Learning Program Manager,Learning and Development,EMEA,M036,Active,False,2025-01-29,HRIS
L00114,E00114,Learner 00114,learner00114@example.com,Learning Program Manager,Learning and Development,LATAM,M041,Active,True,2021-10-28,HRIS
L00115,E00115,Learner 00115,learner00115@example.com,Customer Success Manager,Customer Success,NA,M019,Active,True,2023-07-10,HRIS
L00116,E00116,Learner 00116,learner00116@example.com,Learning Program Manager,Learning and Development,NA,M080,Inactive,True,2024-03-31,HRIS
L00117,E00117,Learner 00117,learner00117@example.com,Support Specialist,Support,LATAM,M057,Active,False,2023-07-31,HRIS
L00118,E00118,Learner 00118,learner00118@example.com,Customer Success Manager,Customer Success,EMEA,M024,Active,True,2025-10-06,HRIS
L00119,E00119,Learner 00119,learner00119@example.com,Learning Program Manager,Learning and Development,LATAM,M071,Active,True,2022-02-10,HRIS
L00120,E00120,Learner 00120,learner00120@example.com,Support Specialist,Support,NA,M036,Active,True,2022-07-27,HRIS
L00121,E00121,Learner 00121,learner00121@example.com,HR Business Partner,Human Resources,LATAM,M057,Active,False,2024-02-04,HRIS
L00122,E00122,Learner 00122,learner00122@example.com,HR Business Partner,Human Resources,LATAM,M065,Active,True,2024-05-02,HRIS
L00123,E00123,Learner 00123,learner00123@example.com,Product Manager,Product,NA,M012,Active,True,2023-12-20,HRIS
L00124,E00124,Learner 00124,learner00124@example.com,Implementation Consultant,Professional Services,LATAM,M056,Active,True,2021-06-22,HRIS
L00125,E00125,Learner 00125,learner00125@example.com,HR Business Partner,Human Resources,NA,M069,Active,True,2021-09-15,HRIS
L00126,E00126,Learner 00126,learner00126@example.com,Learning Program Manager,Learning and Development,APAC,M027,Active,True,2025-11-27,HRIS
L00127,E00127,Learner 00127,learner00127@example.com,Product Manager,Product,NA,M015,Active,True,2021-06-23,HRIS
L00128,E00128,Learner 00128,learner00128@example.com,Sales Engineer,Sales,NA,M017,Active,True,2026-01-15,HRIS
L00129,E00129,Learner 00129,learner00129@example.com,Security Analyst,Security,EMEA,M046,Active,True,2024-05-19,HRIS
L00130,E00130,Learner 00130,learner00130@example.com,Support Specialist,Support,LATAM,M065,Active,True,2023-03-27,HRIS
L00131,E00131,Learner 00131,learner00131@example.com,Learning Program Manager,Learning and Development,LATAM,M060,Inactive,True,2022-11-21,HRIS
L00132,E00132,Learner 00132,learner00132@example.com,Product Manager,Product,EMEA,M051,Active,True,2022-07-09,HRIS
L00133,E00133,Learner 00133,learner00133@example.com,Product Manager,Product,LATAM,M076,Active,True,2022-04-03,HRIS
L00134,E00134,Learner 00134,learner00134@example.com,HR Business Partner,Human Resources,APAC,M028,Active,True,2023-02-09,HRIS
L00135,E00135,Learner 00135,learner00135@example.com,HR Business Partner,Human Resources,LATAM,M027,Active,False,2023-02-28,HRIS
L00136,E00136,Learner 00136,learner00136@example.com,Learning Program Manager,Learning and Development,NA,M064,Active,True,2024-08-07,HRIS
L00137,E00137,Learner 00137,learner00137@example.com,Sales Engineer,Sales,APAC,M035,Active,True,2025-02-13,HRIS
L00138,E00138,Learner 00138,learner00138@example.com,Implementation Consultant,Professional Services,LATAM,M075,Active,True,2023-09-06,HRIS
L00139,E00139,Learner 00139,learner00139@example.com,HR Business Partner,Human Resources,NA,M028,Active,True,2022-07-30,HRIS
L00140,E00140,Learner 00140,learner00140@example.com,Implementation Consultant,Professional Services,NA,M031,Active,True,2024-01-18,HRIS
L00141,E00141,Learner 00141,learner00141@example.com,Implementation Consultant,Professional Services,APAC,M010,Inactive,True,2023-01-18,HRIS
L00142,E00142,Learner 00142,learner00142@example.com,Customer Success Manager,Customer Success,NA,M064,Active,True,2022-06-12,HRIS
L00143,E00143,Learner 00143,learner00143@example.com,Sales Engineer,Sales,APAC,M027,Active,True,2025-12-29,HRIS
L00144,E00144,Learner 00144,learner00144@example.com,HR Business Partner,Human Resources,LATAM,M077,Active,False,2025-03-04,HRIS
L00145,E00145,Learner 00145,learner00145@example.com,Learning Program Manager,Learning and Development,APAC,M014,Active,True,2023-02-06,HRIS
L00146,E00146,Learner 00146,learner00146@example.com,Learning Program Manager,Learning and Development,NA,M041,Active,True,2021-09-13,HRIS
L00147,E00147,Learner 00147,learner00147@example.com,Support Specialist,Support,EMEA,M028,Active,True,2023-04-07,HRIS
L00148,E00148,Learner 00148,learner00148@example.com,Support Specialist,Support,NA,M038,Active,True,2024-05-10,HRIS
L00149,E00149,Learner 00149,learner00149@example.com,Security Analyst,Security,APAC,M075,Active,True,2024-10-29,HRIS
L00150,E00150,Learner 00150,learner00150@example.com,Security Analyst,Security,EMEA,M008,Active,True,2025-02-04,HRIS
L00151,E00151,Learner 00151,learner00151@example.com,HR Business Partner,Human Resources,LATAM,M022,Active,True,2022-10-12,HRIS
L00152,E00152,Learner 00152,learner00152@example.com,Security Analyst,Security,NA,M020,Active,True,2025-06-18,HRIS
L00153,E00153,Learner 00153,learner00153@example.com,Learning Program Manager,Learning and Development,NA,M078,Active,True,2025-07-06,HRIS
L00154,E00154,Learner 00154,learner00154@example.com,Sales Engineer,Sales,EMEA,M063,Active,True,2025-09-29,HRIS
L00155,E00155,Learner 00155,learner00155@example.com,HR Business Partner,Human Resources,APAC,M075,Active,False,2023-06-04,HRIS
L00156,E00156,Learner 00156,learner00156@example.com,Customer Success Manager,Customer Success,NA,M014,Active,True,2025-12-26,HRIS
L00157,E00157,Learner 00157,learner00157@example.com,Support Specialist,Support,EMEA,M064,Active,True,2023-04-26,HRIS
L00158,E00158,Learner 00158,learner00158@example.com,Support Specialist,Support,EMEA,M001,Active,True,2025-01-14,HRIS
L00159,E00159,Learner 00159,learner00159@example.com,HR Business Partner,Human Resources,NA,M043,Active,True,2023-12-16,HRIS
L00160,E00160,Learner 00160,learner00160@example.com,Learning Program Manager,Learning and Development,NA,M025,Active,True,2025-01-07,HRIS
L00161,E00161,Learner 00161,learner00161@example.com,Implementation Consultant,Professional Services,LATAM,M043,Active,True,2024-12-03,HRIS
L00162,E00162,Learner 00162,learner00162@example.com,Sales Engineer,Sales,EMEA,M010,Active,True,2025-03-12,HRIS
L00163,E00163,Learner 00163,learner00163@example.com,Learning Program Manager,Learning and Development,NA,M055,Active,True,2022-09-22,HRIS
L00164,E00164,Learner 00164,learner00164@example.com,HR Business Partner,Human Resources,APAC,M070,Active,True,2022-10-08,HRIS
L00165,E00165,Learner 00165,learner00165@example.com,Product Manager,Product,APAC,M071,Inactive,True,2021-07-07,HRIS
L00166,E00166,Learner 00166,learner00166@example.com,Customer Success Manager,Customer Success,EMEA,M069,Active,True,2023-12-15,HRIS
L00167,E00167,Learner 00167,learner00167@example.com,Customer Success Manager,Customer Success,EMEA,M017,Active,False,2022-12-12,HRIS
L00168,E00168,Learner 00168,learner00168@example.com,Product Manager,Product,LATAM,M044,Active,False,2026-02-14,HRIS
L00169,E00169,Learner 00169,learner00169@example.com,HR Business Partner,Human Resources,EMEA,M063,Active,True,2025-04-12,HRIS
L00170,E00170,Learner 00170,learner00170@example.com,Product Manager,Product,LATAM,M041,Active,True,2024-04-25,HRIS
L00171,E00171,Learner 00171,learner00171@example.com,Customer Success Manager,Customer Success,LATAM,M045,Active,True,2025-11-04,HRIS
L00172,E00172,Learner 00172,learner00172@example.com,Support Specialist,Support,LATAM,M057,Active,True,2024-02-02,HRIS
L00173,E00173,Learner 00173,learner00173@example.com,Implementation Consultant,Professional Services,NA,M036,Active,True,2025-01-31,HRIS
L00174,E00174,Learner 00174,learner00174@example.com,Support Specialist,Support,NA,M046,Active,False,2024-10-09,HRIS
L00175,E00175,Learner 00175,learner00175@example.com,HR Business Partner,Human Resources,APAC,M018,Active,True,2024-05-26,HRIS
L00176,E00176,Learner 00176,learner00176@example.com,Product Manager,Product,NA,M039,Active,True,2023-07-01,HRIS
L00177,E00177,Learner 00177,learner00177@example.com,Security Analyst,Security,APAC,M077,Active,True,2023-04-10,HRIS
L00178,E00178,Learner 00178,learner00178@example.com,Implementation Consultant,Professional Services,LATAM,M019,Active,True,2025-02-17,HRIS
L00179,E00179,Learner 00179,learner00179@example.com,Implementation Consultant,Professional Services,APAC,M052,Active,True,2024-04-23,HRIS
L00180,E00180,Learner 00180,learner00180@example.com,Security Analyst,Security,EMEA,M048,Active,True,2025-10-06,HRIS
L00181,E00181,Learner 00181,learner00181@example.com,Support Specialist,Support,EMEA,M020,Active,True,2022-06-26,HRIS
L00182,E00182,Learner 00182,learner00182@example.com,HR Business Partner,Human Resources,NA,M076,Active,True,2025-07-27,HRIS
L00183,E00183,Learner 00183,learner00183@example.com,HR Business Partner,Human Resources,EMEA,M080,Active,True,2022-03-08,HRIS
L00184,E00184,Learner 00184,learner00184@example.com,Customer Success Manager,Customer Success,LATAM,M061,Inactive,True,2025-09-26,HRIS
L00185,E00185,Learner 00185,learner00185@example.com,Learning Program Manager,Learning and Development,APAC,M076,Active,True,2024-07-12,HRIS
L00186,E00186,Learner 00186,learner00186@example.com,Customer Success Manager,Customer Success,EMEA,M055,Active,True,2025-03-09,HRIS
L00187,E00187,Learner 00187,learner00187@example.com,Security Analyst,Security,NA,M026,Active,True,2021-08-23,HRIS
L00188,E00188,Learner 00188,learner00188@example.com,Security Analyst,Security,EMEA,M071,Active,True,2023-12-29,HRIS
L00189,E00189,Learner 00189,learner00189@example.com,HR Business Partner,Human Resources,NA,M057,Active,True,2026-04-15,HRIS
L00190,E00190,Learner 00190,learner00190@example.com,Sales Engineer,Sales,EMEA,M074,Active,True,2021-06-08,HRIS
L00191,E00191,Learner 00191,learner00191@example.com,Security Analyst,Security,NA,M043,Active,True,2024-03-24,HRIS
L00192,E00192,Learner 00192,learner00192@example.com,Product Manager,Product,EMEA,M019,Active,True,2022-03-27,HRIS
L00193,E00193,Learner 00193,learner00193@example.com,Security Analyst,Security,EMEA,M022,Active,True,2022-12-16,HRIS
L00194,E00194,Learner 00194,learner00194@example.com,Implementation Consultant,Professional Services,NA,M012,Active,True,2022-11-08,HRIS
L00195,E00195,Learner 00195,learner00195@example.com,Learning Program Manager,Learning and Development,APAC,M039,Active,True,2023-05-03,HRIS
L00196,E00196,Learner 00196,learner00196@example.com,Security Analyst,Security,APAC,M017,Active,True,2023-10-12,HRIS
L00197,E00197,Learner 00197,learner00197@example.com,Sales Engineer,Sales,APAC,M007,Active,True,2026-03-03,HRIS
L00198,E00198,Learner 00198,learner00198@example.com,Sales Engineer,Sales,LATAM,M020,Active,True,2024-01-15,HRIS
L00199,E00199,Learner 00199,learner00199@example.com,Security Analyst,Security,LATAM,M003,Active,False,2022-08-25,HRIS
L00200,E00200,Learner 00200,learner00200@example.com,Security Analyst,Security,NA,M015,Active,True,2021-11-02,HRIS
L00201,E00201,Learner 00201,learner00201@example.com,Support Specialist,Support,APAC,M061,Active,True,2026-04-05,HRIS
L00202,E00202,Learner 00202,learner00202@example.com,Product Manager,Product,APAC,M013,Active,True,2023-07-05,HRIS
L00203,E00203,Learner 00203,learner00203@example.com,Customer Success Manager,Customer Success,NA,M040,Active,True,2024-10-12,HRIS
L00204,E00204,Learner 00204,learner00204@example.com,Security Analyst,Security,EMEA,M005,Active,True,2024-06-13,HRIS
L00205,E00205,Learner 00205,learner00205@example.com,Learning Program Manager,Learning and Development,LATAM,M047,Active,False,2022-11-21,HRIS
L00206,E00206,Learner 00206,learner00206@example.com,Customer Success Manager,Customer Success,APAC,M014,Active,True,2022-05-30,HRIS
L00207,E00207,Learner 00207,learner00207@example.com,Product Manager,Product,EMEA,M069,Active,True,2024-09-02,HRIS
L00208,E00208,Learner 00208,learner00208@example.com,Security Analyst,Security,LATAM,M047,Inactive,True,2026-03-11,HRIS
L00209,E00209,Learner 00209,learner00209@example.com,Implementation Consultant,Professional Services,APAC,M001,Active,True,2025-01-02,HRIS
L00210,E00210,Learner 00210,learner00210@example.com,Product Manager,Product,LATAM,M054,Active,False,2021-11-19,HRIS
L00211,E00211,Learner 00211,learner00211@example.com,Learning Program Manager,Learning and Development,APAC,M014,Active,True,2022-12-02,HRIS
L00212,E00212,Learner 00212,learner00212@example.com,Sales Engineer,Sales,LATAM,M055,Active,True,2022-08-10,HRIS
L00213,E00213,Learner 00213,learner00213@example.com,Sales Engineer,Sales,APAC,M069,Active,True,2025-02-15,HRIS
L00214,E00214,Learner 00214,learner00214@example.com,Sales Engineer,Sales,APAC,M017,Active,False,2025-04-06,HRIS
L00215,E00215,Learner 00215,learner00215@example.com,Sales Engineer,Sales,NA,M026,Active,True,2026-03-13,HRIS
L00216,E00216,Learner 00216,learner00216@example.com,Implementation Consultant,Professional Services,LATAM,M066,Active,True,2023-07-08,HRIS
L00217,E00217,Learner 00217,learner00217@example.com,Product Manager,Product,EMEA,M069,Active,True,2025-04-27,HRIS
L00218,E00218,Learner 00218,learner00218@example.com,Support Specialist,Support,LATAM,M025,Active,True,2023-08-24,HRIS
L00219,E00219,Learner 00219,learner00219@example.com,HR Business Partner,Human Resources,LATAM,M073,Active,True,2026-04-13,HRIS
L00220,E00220,Learner 00220,learner00220@example.com,Product Manager,Product,APAC,M030,Active,True,2023-06-06,HRIS
L00221,E00221,Learner 00221,learner00221@example.com,Customer Success Manager,Customer Success,APAC,M023,Active,True,2025-05-24,HRIS
L00222,E00222,Learner 00222,learner00222@example.com,Customer Success Manager,Customer Success,LATAM,M076,Active,True,2025-08-01,HRIS
L00223,E00223,Learner 00223,learner00223@example.com,Product Manager,Product,EMEA,M047,Active,True,2025-05-05,HRIS
L00224,E00224,Learner 00224,learner00224@example.com,Support Specialist,Support,NA,M062,Inactive,True,2024-04-24,HRIS
L00225,E00225,Learner 00225,learner00225@example.com,Support Specialist,Support,LATAM,M032,Active,True,2024-05-31,HRIS
L00226,E00226,Learner 00226,learner00226@example.com,Security Analyst,Security,LATAM,M048,Active,True,2023-04-16,HRIS
L00227,E00227,Learner 00227,learner00227@example.com,Security Analyst,Security,LATAM,M010,Active,True,2025-11-23,HRIS
L00228,E00228,Learner 00228,learner00228@example.com,Product Manager,Product,LATAM,M057,Active,True,2023-03-06,HRIS
