learner_id,learner_name,team,role,certification_id,exam_voucher_cost
L057,Contoso Learner 057,Platform,Analyst,CERT-AZURE-001,450
L058,Contoso Learner 058,Security,Engineer,CERT-AZURE-001,450
L059,Contoso Learner 059,Data,Architect,CERT-AZURE-001,450
L060,Contoso Learner 060,Applications,Analyst,CERT-AZURE-001,450
L061,Contoso Learner 061,Platform,Engineer,CERT-AZURE-001,450
L062,Contoso Learner 062,Security,Architect,CERT-AZURE-001,450
L063,Contoso Learner 063,Data,Analyst,CERT-AZURE-001,450
L064,Contoso Learner 064,Applications,Engineer,CERT-AZURE-001,450
L065,Contoso Learner 065,Platform,Architect,CERT-AZURE-001,450
L066,Contoso Learner 066,Security,Analyst,CERT-AZURE-001,450
L067,Contoso Learner 067,Data,Engineer,CERT-AZURE-001,450
L068,Contoso Learner 068,Applications,Architect,CERT-AZURE-001,450
L069,Contoso Learner 069,Platform,Analyst,CERT-AZURE-001,450
L070,Contoso Learner 070,Security,Engineer,CERT-AZURE-001,450
L071,Contoso Learner 071,Data,Architect,CERT-AZURE-001,450
L072,Contoso Learner 072,Applications,Analyst,CERT-AZURE-001,450
L073,Contoso Learner 073,Platform,Engineer,CERT-AZURE-001,450
L074,Contoso Learner 074,Security,Architect,CERT-AZURE-001,450
L075,Contoso Learner 075,Data,Analyst,CERT-AZURE-001,450
L076,Contoso Learner 076,Applications,Engineer,CERT-AZURE-001,450
L077,Contoso Learner 077,Platform,Architect,CERT-AZURE-001,450
L078,Contoso Learner 078,Security,Analyst,CERT-AZURE-001,450
L079,Contoso Learner 079,Data,Engineer,CERT-AZURE-001,450
L080,Contoso Learner 080,Applications,Architect,CERT-AZURE-001,450
L081,Contoso Learner 081,Platform,Analyst,CERT-AZURE-001,450
L082,Contoso Learner 082,Security,Engineer,CERT-AZURE-001,450
L083,Contoso Learner 083,Data,Architect,CERT-AZURE-001,450
L084,Contoso Learner 084,Applications,Analyst,CERT-AZURE-001,450
L085,Contoso Learner 085,Platform,Engineer,CERT-AZURE-001,450
L086,Contoso Learner 086,Security,Architect,CERT-AZURE-001,450
L087,Contoso Learner 087,Data,Analyst,CERT-AZURE-001,450
L088,Contoso Learner 088,Applications,Engineer,CERT-AZURE-001,450
L089,Contoso Learner 089,Platform,Architect,CERT-AZURE-001,450
L090,Contoso Learner 090,Security,Analyst,CERT-AZURE-001,450
L091,Contoso Learner 091,Data,Engineer,CERT-AZURE-001,450
L092,Contoso Learner 092,Applications,Architect,CERT-AZURE-001,450
L093,Contoso Learner 093,Platform,Analyst,CERT-AZURE-001,450
L094,Contoso Learner 094,Security,Engineer,CERT-AZURE-001,450
L095,Contoso Learner 095,Data,Architect,CERT-AZURE-001,450
L096,Contoso Learner 096,Applications,Analyst,CERT-AZURE-001,450
L097,Contoso Learner 097,Platform,Engineer,CERT-AZURE-001,450
L098,Contoso Learner 098,Security,Architect,CERT-AZURE-001,450
L099,Contoso Learner 099,Data,Analyst,CERT-AZURE-001,450
L100,Contoso Learner 100,Applications,Engineer,CERT-AZURE-001,450
L101,Contoso Learner 101,Platform,Architect,CERT-AZURE-001,450
L102,Contoso Learner 102,Security,Analyst,CERT-AZURE-001,450
L103,Contoso Learner 103,Data,Engineer,CERT-AZURE-001,450
L104,Contoso Learner 104,Applications,Architect,CERT-AZURE-001,450
L105,Contoso Learner 105,Platform,Analyst,CERT-AZURE-001,450
L106,Contoso Learner 106,Security,Engineer,CERT-AZURE-001,450
L107,Contoso Learner 107,Data,Architect,CERT-AZURE-001,450
L108,Contoso Learner 108,Applications,Analyst,CERT-AZURE-001,450
L109,Contoso Learner 109,Platform,Engineer,CERT-AZURE-001,450
L110,Contoso Learner 110,Security,Architect,CERT-AZURE-001,450
L111,Contoso Learner 111,Data,Analyst,CERT-AZURE-001,450
L112,Contoso Learner 112,Applications,Engineer,CERT-AZURE-001,450
L113,Contoso Learner 113,Platform,Architect,CERT-AZURE-001,450
L114,Contoso Learner 114,Security,Analyst,CERT-AZURE-001,450
L115,Contoso Learner 115,Data,Engineer,CERT-AZURE-001,450
L116,Contoso Learner 116,Applications,Architect,CERT-AZURE-001,450
L117,Contoso Learner 117,Platform,Analyst,CERT-AZURE-001,450
L118,Contoso Learner 118,Security,Engineer,CERT-AZURE-001,450
L119,Contoso Learner 119,Data,Architect,CERT-AZURE-001,450
L120,Contoso Learner 120,Applications,Analyst,CERT-AZURE-001,450
